date,Trans,Visits,Net_Sales
2015-06-17,581.0,1759.0,30375.45
2015-06-18,490.0,1484.0,25023.189999999995
2015-06-19,637.0,1885.0,27100.200000000004
2015-06-20,837.0,2493.0,40296.319999999985
2015-06-21,452.0,1412.0,19105.7
2015-06-22,519.0,1735.0,23233.27
2015-06-23,495.0,1165.0,16930.57
2015-06-24,511.0,1332.0,18817.36
2015-06-25,495.0,1414.0,22679.14
2015-06-26,613.0,1726.0,25296.06
2015-06-27,624.0,1787.0,29433.99
2015-06-28,470.0,1396.0,23292.14
2015-06-29,444.0,1360.0,22313.72
2015-06-30,472.0,1243.0,22280.82
